round,order,variant,workload,rps,p50_ms,p99_ms,warnings
1,ABC,A,single,769841.21,.175,3.99,1
1,ABC,B,single,751461.48,.175,4.74,0
0
1,ABC,C,single,752797.58,.182,4.14,0
0
1,ABC,A,interleaved,685250.49,.206,4.21,4
1,ABC,B,interleaved,682713.55,.220,3.82,0
0
1,ABC,C,interleaved,677974.50,.217,3.85,0
0
1,ABC,A,param,638268.27,.229,4.12,123
1,ABC,B,param,635212.64,.224,4.10,0
0
1,ABC,C,param,632136.92,.229,4.33,0
0
2,CBA,C,single,738817.29,.187,3.84,0
0
2,CBA,B,single,748180.07,.188,4.02,0
0
2,CBA,A,single,742649.83,.185,4.07,1
2,CBA,C,interleaved,674953.24,.226,3.78,0
0
2,CBA,B,interleaved,669949.04,.215,4.05,0
0
2,CBA,A,interleaved,683523.34,.210,4.05,4
2,CBA,C,param,633192.80,.228,4.38,0
0
2,CBA,B,param,635293.40,.226,4.02,0
0
2,CBA,A,param,643189.73,.229,4.12,102
3,ABC,A,single,740418.01,.182,3.89,1
3,ABC,B,single,737873.10,.188,4.18,0
0
3,ABC,C,single,735879.35,.185,4.17,0
0
3,ABC,A,interleaved,681300.13,.221,4.17,4
3,ABC,B,interleaved,668217.52,.222,4.34,0
0
3,ABC,C,interleaved,680972.45,.219,3.67,0
0
3,ABC,A,param,620396.22,.231,3.91,89
3,ABC,B,param,629803.67,.231,4.18,0
0
3,ABC,C,param,637002.12,.229,4.12,0
0
4,CBA,C,single,728244.02,.187,4.16,0
0
4,CBA,B,single,743597.68,.187,4.07,0
0
4,CBA,A,single,735578.73,.192,4.08,1
4,CBA,C,interleaved,675762.52,.215,3.93,0
0
4,CBA,B,interleaved,667590.90,.220,4.28,0
0
4,CBA,A,interleaved,677731.80,.216,3.99,4
4,CBA,C,param,634310.52,.226,4.39,0
0
4,CBA,B,param,631092.26,.229,4.23,0
0
4,CBA,A,param,630367.65,.231,3.96,81
5,ABC,A,single,733637.57,.185,4.29,1
5,ABC,B,single,744249.88,.181,3.93,0
0
5,ABC,C,single,735975.27,.191,4.35,0
0
5,ABC,A,interleaved,682950.68,.212,3.91,4
5,ABC,B,interleaved,667555.29,.222,4.11,0
0
5,ABC,C,interleaved,676129.35,.223,3.95,0
0
5,ABC,A,param,641650.84,.234,4.12,123
5,ABC,B,param,631992.06,.229,4.19,0
0
5,ABC,C,param,630351.48,.231,4.20,0
0
