round,order,engine,route,rps,p99_ms
1,AB,stdjson,small,735191.72,4.41ms
1,AB,sonic,small,712890.16,4.53ms
1,AB,stdjson,large,259709.19,5.53ms
1,AB,sonic,large,319531.63,6.82ms
1,AB,stdjson,decode,34569.75,21.14ms
1,AB,sonic,decode,88607.60,8.96ms
2,BA,sonic,small,710634.59,4.41ms
2,BA,stdjson,small,708337.87,4.61ms
2,BA,sonic,large,313153.02,8.02ms
2,BA,stdjson,large,252800.29,5.54ms
2,BA,sonic,decode,89258.17,9.02ms
2,BA,stdjson,decode,34141.14,19.99ms
3,AB,stdjson,small,705852.10,4.17ms
3,AB,sonic,small,698190.98,4.64ms
3,AB,stdjson,large,255143.77,5.29ms
3,AB,sonic,large,309751.31,7.51ms
3,AB,stdjson,decode,34361.59,19.69ms
3,AB,sonic,decode,89258.01,8.97ms
4,BA,sonic,small,688816.88,4.44ms
4,BA,stdjson,small,698557.95,4.16ms
4,BA,sonic,large,316566.78,7.05ms
4,BA,stdjson,large,255447.39,5.29ms
4,BA,sonic,decode,89041.78,8.77ms
4,BA,stdjson,decode,33839.90,20.38ms
5,AB,stdjson,small,702853.75,4.24ms
5,AB,sonic,small,694320.37,4.59ms
5,AB,stdjson,large,258108.06,4.92ms
5,AB,sonic,large,317215.89,7.26ms
5,AB,stdjson,decode,34101.70,19.94ms
5,AB,sonic,decode,89105.64,9.10ms
