timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T124152Z,latency,kruda,json-serialize,1,-t4 -c128 -d15s,797085.30,0.106,0.222,1.820,18.840,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-latency-json-serialize-round-1.txt
20260524T124152Z,latency,kruda,json-serialize,2,-t4 -c128 -d15s,788340.87,0.108,0.223,1.500,14.360,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-latency-json-serialize-round-2.txt
20260524T124152Z,latency,kruda,json-serialize,3,-t4 -c128 -d15s,763092.51,0.114,0.263,1.480,15.730,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-latency-json-serialize-round-3.txt
20260524T124152Z,latency,kruda,json-serialize,4,-t4 -c128 -d15s,800629.91,0.107,0.236,1.260,14.230,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-latency-json-serialize-round-4.txt
20260524T124152Z,latency,kruda,json-serialize,5,-t4 -c128 -d15s,793913.03,0.109,0.249,1.090,12.280,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-latency-json-serialize-round-5.txt
20260524T124152Z,throughput,kruda,json-serialize,1,-t4 -c256 -d15s,806376.39,0.208,0.426,1.340,15.250,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-throughput-json-serialize-round-1.txt
20260524T124152Z,throughput,kruda,json-serialize,2,-t4 -c256 -d15s,803914.51,0.209,0.488,1.040,19.730,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-throughput-json-serialize-round-2.txt
20260524T124152Z,throughput,kruda,json-serialize,3,-t4 -c256 -d15s,803259.94,0.215,0.444,1.220,14.360,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-throughput-json-serialize-round-3.txt
20260524T124152Z,throughput,kruda,json-serialize,4,-t4 -c256 -d15s,807977.60,0.205,0.448,0.990,8.860,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-throughput-json-serialize-round-4.txt
20260524T124152Z,throughput,kruda,json-serialize,5,-t4 -c256 -d15s,814054.59,0.203,0.462,1.130,12.920,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-serialize-readbuf4k-p3670/raw/kruda-throughput-json-serialize-round-5.txt
