timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T123107Z,latency,kruda,json-static,1,-t4 -c128 -d15s,815069.38,0.107,0.223,0.920,9.160,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-latency-json-static-round-1.txt
20260524T123107Z,latency,kruda,json-static,2,-t4 -c128 -d15s,825524.66,0.103,0.205,0.623,13.300,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-latency-json-static-round-2.txt
20260524T123107Z,latency,kruda,json-static,3,-t4 -c128 -d15s,816591.50,0.106,0.222,0.843,12.300,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-latency-json-static-round-3.txt
20260524T123107Z,latency,kruda,json-static,4,-t4 -c128 -d15s,827568.76,0.100,0.198,0.689,9.190,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-latency-json-static-round-4.txt
20260524T123107Z,latency,kruda,json-static,5,-t4 -c128 -d15s,822538.37,0.104,0.216,1.080,20.170,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-latency-json-static-round-5.txt
20260524T123107Z,throughput,kruda,json-static,1,-t4 -c256 -d15s,817914.12,0.201,0.439,0.930,12.350,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-throughput-json-static-round-1.txt
20260524T123107Z,throughput,kruda,json-static,2,-t4 -c256 -d15s,811870.21,0.216,0.466,0.890,12.240,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-throughput-json-static-round-2.txt
20260524T123107Z,throughput,kruda,json-static,3,-t4 -c256 -d15s,824622.30,0.183,0.413,0.980,7.960,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-throughput-json-static-round-3.txt
20260524T123107Z,throughput,kruda,json-static,4,-t4 -c256 -d15s,807311.34,0.230,0.465,0.773,7.280,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-throughput-json-static-round-4.txt
20260524T123107Z,throughput,kruda,json-static,5,-t4 -c256 -d15s,814008.78,0.216,0.427,1.160,13.270,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/kruda-throughput-json-static-round-5.txt
20260524T123107Z,latency,fiber,json-static,1,-t4 -c128 -d15s,634318.57,0.142,0.642,2.730,12.030,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-latency-json-static-round-1.txt
20260524T123107Z,latency,fiber,json-static,2,-t4 -c128 -d15s,637047.66,0.142,0.632,2.820,12.450,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-latency-json-static-round-2.txt
20260524T123107Z,latency,fiber,json-static,3,-t4 -c128 -d15s,629755.77,0.142,0.633,2.800,12.320,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-latency-json-static-round-3.txt
20260524T123107Z,latency,fiber,json-static,4,-t4 -c128 -d15s,635353.00,0.142,0.666,2.810,12.090,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-latency-json-static-round-4.txt
20260524T123107Z,latency,fiber,json-static,5,-t4 -c128 -d15s,627619.53,0.143,0.675,2.900,12.510,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-latency-json-static-round-5.txt
20260524T123107Z,throughput,fiber,json-static,1,-t4 -c256 -d15s,645100.12,0.267,1.100,3.460,13.000,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-throughput-json-static-round-1.txt
20260524T123107Z,throughput,fiber,json-static,2,-t4 -c256 -d15s,648866.86,0.268,1.140,3.430,12.850,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-throughput-json-static-round-2.txt
20260524T123107Z,throughput,fiber,json-static,3,-t4 -c256 -d15s,645172.48,0.268,1.110,3.430,20.190,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-throughput-json-static-round-3.txt
20260524T123107Z,throughput,fiber,json-static,4,-t4 -c256 -d15s,647828.30,0.270,1.120,3.500,23.240,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-throughput-json-static-round-4.txt
20260524T123107Z,throughput,fiber,json-static,5,-t4 -c256 -d15s,648373.29,0.266,1.070,3.380,18.210,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/fiber-throughput-json-static-round-5.txt
20260524T123107Z,latency,actix,json-static,1,-t4 -c128 -d15s,719080.64,0.090,0.860,3.120,27.260,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-latency-json-static-round-1.txt
20260524T123107Z,latency,actix,json-static,2,-t4 -c128 -d15s,704460.90,0.094,0.520,2.640,11.380,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-latency-json-static-round-2.txt
20260524T123107Z,latency,actix,json-static,3,-t4 -c128 -d15s,715788.47,0.093,0.698,2.970,12.190,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-latency-json-static-round-3.txt
20260524T123107Z,latency,actix,json-static,4,-t4 -c128 -d15s,715197.80,0.089,0.930,3.240,11.880,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-latency-json-static-round-4.txt
20260524T123107Z,latency,actix,json-static,5,-t4 -c128 -d15s,711553.12,0.091,0.900,3.220,15.310,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-latency-json-static-round-5.txt
20260524T123107Z,throughput,actix,json-static,1,-t4 -c256 -d15s,726783.96,0.165,0.920,3.240,22.080,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-throughput-json-static-round-1.txt
20260524T123107Z,throughput,actix,json-static,2,-t4 -c256 -d15s,739787.51,0.168,1.230,3.440,20.440,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-throughput-json-static-round-2.txt
20260524T123107Z,throughput,actix,json-static,3,-t4 -c256 -d15s,739167.27,0.170,1.060,3.260,21.630,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-throughput-json-static-round-3.txt
20260524T123107Z,throughput,actix,json-static,4,-t4 -c256 -d15s,727086.88,0.163,0.710,3.000,13.610,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-throughput-json-static-round-4.txt
20260524T123107Z,throughput,actix,json-static,5,-t4 -c256 -d15s,738144.14,0.169,1.070,3.290,15.930,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-json-static-readbuf4k-p3660/raw/actix-throughput-json-static-round-5.txt
