timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T122105Z,latency,kruda,plaintext-handler,1,-t4 -c128 -d15s,815238.59,0.113,0.235,0.860,10.500,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-latency-plaintext-handler-round-1.txt
20260524T122105Z,latency,kruda,plaintext-handler,2,-t4 -c128 -d15s,824923.74,0.105,0.220,0.764,14.920,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-latency-plaintext-handler-round-2.txt
20260524T122105Z,latency,kruda,plaintext-handler,3,-t4 -c128 -d15s,820637.73,0.110,0.218,0.701,12.010,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-latency-plaintext-handler-round-3.txt
20260524T122105Z,latency,kruda,plaintext-handler,4,-t4 -c128 -d15s,833357.01,0.102,0.191,0.785,13.710,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-latency-plaintext-handler-round-4.txt
20260524T122105Z,latency,kruda,plaintext-handler,5,-t4 -c128 -d15s,810113.42,0.106,0.216,0.761,15.640,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-latency-plaintext-handler-round-5.txt
20260524T122105Z,throughput,kruda,plaintext-handler,1,-t4 -c256 -d15s,810809.83,0.231,0.464,1.060,13.400,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-throughput-plaintext-handler-round-1.txt
20260524T122105Z,throughput,kruda,plaintext-handler,2,-t4 -c256 -d15s,831896.37,0.203,0.413,0.793,12.060,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-throughput-plaintext-handler-round-2.txt
20260524T122105Z,throughput,kruda,plaintext-handler,3,-t4 -c256 -d15s,820147.01,0.209,0.420,1.000,10.410,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-throughput-plaintext-handler-round-3.txt
20260524T122105Z,throughput,kruda,plaintext-handler,4,-t4 -c256 -d15s,823554.65,0.192,0.384,0.920,15.030,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-throughput-plaintext-handler-round-4.txt
20260524T122105Z,throughput,kruda,plaintext-handler,5,-t4 -c256 -d15s,825288.95,0.188,0.382,0.980,11.500,0,0,/home/tiger/kruda-wing-single-handler-phase11-20260524T122038Z/bench/reproducible/results/20260524Tphase11-single-handler-plaintext-readbuf4k-p3650/raw/kruda-throughput-plaintext-handler-round-5.txt
