timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260523T183444Z,latency,kruda,json-static,1,-t4 -c128 -d15s,816182.67,0.105,0.214,1.060,18.710,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-static-round-1.txt
20260523T183444Z,latency,kruda,json-static,2,-t4 -c128 -d15s,810368.07,0.106,0.231,0.505,10.150,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-static-round-2.txt
20260523T183444Z,latency,kruda,json-static,3,-t4 -c128 -d15s,807664.24,0.105,0.215,0.920,12.030,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-static-round-3.txt
20260523T183444Z,latency,kruda,json-static,4,-t4 -c128 -d15s,802750.45,0.110,0.217,0.526,10.140,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-static-round-4.txt
20260523T183444Z,latency,kruda,json-static,5,-t4 -c128 -d15s,766197.40,0.131,0.246,0.860,14.650,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-static-round-5.txt
20260523T183444Z,latency,kruda,json-serialize,1,-t4 -c128 -d15s,784098.80,0.120,0.245,0.812,17.600,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-serialize-round-1.txt
20260523T183444Z,latency,kruda,json-serialize,2,-t4 -c128 -d15s,793534.67,0.110,0.236,0.695,7.860,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-serialize-round-2.txt
20260523T183444Z,latency,kruda,json-serialize,3,-t4 -c128 -d15s,780020.19,0.114,0.259,1.120,21.240,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-serialize-round-3.txt
20260523T183444Z,latency,kruda,json-serialize,4,-t4 -c128 -d15s,793358.63,0.106,0.236,0.821,11.150,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-serialize-round-4.txt
20260523T183444Z,latency,kruda,json-serialize,5,-t4 -c128 -d15s,790803.39,0.114,0.229,0.960,10.380,0,0,results/20260524Tphase3-json-final/raw/kruda-latency-json-serialize-round-5.txt
20260523T183444Z,throughput,kruda,json-static,1,-t4 -c256 -d15s,787133.72,0.232,0.465,1.150,11.020,0,0,results/20260524Tphase3-json-final/raw/kruda-throughput-json-static-round-1.txt
20260523T183444Z,throughput,kruda,json-static,2,-t4 -c256 -d15s,801623.90,0.218,0.477,0.800,9.720,0,0,results/20260524Tphase3-json-final/raw/kruda-throughput-json-static-round-2.txt
20260523T183444Z,throughput,kruda,json-static,3,-t4 -c256 -d15s,817079.53,0.178,0.406,1.000,12.500,0,0,results/20260524Tphase3-json-final/raw/kruda-throughput-json-static-round-3.txt
20260523T183444Z,throughput,kruda,json-static,4,-t4 -c256 -d15s,815121.58,0.207,0.403,0.719,13.330,0,0,results/20260524Tphase3-json-final/raw/kruda-throughput-json-static-round-4.txt
