timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T103821Z,latency,kruda,json-static,1,-t4 -c128 -d15s,824954.92,0.108,0.220,0.890,14.030,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-latency-json-static-round-1.txt
20260524T103821Z,latency,kruda,json-static,2,-t4 -c128 -d15s,832276.97,0.103,0.209,0.568,9.840,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-latency-json-static-round-2.txt
20260524T103821Z,latency,kruda,json-static,3,-t4 -c128 -d15s,810064.34,0.115,0.224,0.768,13.190,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-latency-json-static-round-3.txt
20260524T103821Z,latency,kruda,json-static,4,-t4 -c128 -d15s,830530.50,0.102,0.207,0.563,8.210,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-latency-json-static-round-4.txt
20260524T103821Z,latency,kruda,json-static,5,-t4 -c128 -d15s,809570.78,0.113,0.208,0.780,19.070,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-latency-json-static-round-5.txt
20260524T103821Z,throughput,kruda,json-static,1,-t4 -c256 -d15s,820646.04,0.205,0.451,1.100,8.030,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-throughput-json-static-round-1.txt
20260524T103821Z,throughput,kruda,json-static,2,-t4 -c256 -d15s,836124.85,0.173,0.345,0.663,13.090,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-throughput-json-static-round-2.txt
20260524T103821Z,throughput,kruda,json-static,3,-t4 -c256 -d15s,804763.65,0.230,0.478,1.090,10.360,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-throughput-json-static-round-3.txt
20260524T103821Z,throughput,kruda,json-static,4,-t4 -c256 -d15s,844432.07,0.133,0.356,0.673,10.580,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-throughput-json-static-round-4.txt
20260524T103821Z,throughput,kruda,json-static,5,-t4 -c256 -d15s,813469.15,0.214,0.447,1.060,10.470,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/kruda-throughput-json-static-round-5.txt
20260524T103821Z,latency,fiber,json-static,1,-t4 -c128 -d15s,643676.74,0.134,0.470,2.220,12.710,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/fiber-latency-json-static-round-1.txt
20260524T103821Z,latency,fiber,json-static,2,-t4 -c128 -d15s,647199.67,0.133,0.471,2.240,11.220,0,0,/home/tiger/kruda-send-static-json-phase9-20260524T173000Z/bench/reproducible/results/20260524Tphase9-send-static-json-readbuf4k-p3620/raw/fiber-latency-json-static-round-2.txt
