timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260524T171346Z,latency,kruda,plaintext-handler,1,-t4 -c128 -d15s,807720.82,0.117,0.219,0.571,12.480,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-plaintext-handler-round-1.txt
20260524T171346Z,latency,kruda,plaintext-handler,2,-t4 -c128 -d15s,803656.06,0.108,0.248,0.950,15.210,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-plaintext-handler-round-2.txt
20260524T171346Z,latency,kruda,plaintext-handler,3,-t4 -c128 -d15s,797504.69,0.113,0.225,0.528,7.590,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-plaintext-handler-round-3.txt
20260524T171346Z,latency,kruda,plaintext-handler,4,-t4 -c128 -d15s,807667.99,0.106,0.210,0.990,11.310,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-plaintext-handler-round-4.txt
20260524T171346Z,latency,kruda,plaintext-handler,5,-t4 -c128 -d15s,799777.55,0.117,0.229,0.589,8.720,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-plaintext-handler-round-5.txt
20260524T171346Z,latency,kruda,json-static,1,-t4 -c128 -d15s,809703.13,0.108,0.206,0.577,17.120,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-static-round-1.txt
20260524T171346Z,latency,kruda,json-static,2,-t4 -c128 -d15s,812791.63,0.102,0.218,0.724,10.400,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-static-round-2.txt
20260524T171346Z,latency,kruda,json-static,3,-t4 -c128 -d15s,811328.49,0.112,0.204,0.495,9.990,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-static-round-3.txt
20260524T171346Z,latency,kruda,json-static,4,-t4 -c128 -d15s,794020.78,0.103,0.213,0.753,11.010,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-static-round-4.txt
20260524T171346Z,latency,kruda,json-static,5,-t4 -c128 -d15s,808595.09,0.112,0.218,0.580,15.150,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-static-round-5.txt
20260524T171346Z,latency,kruda,json-serialize,1,-t4 -c128 -d15s,782752.55,0.115,0.246,0.534,8.160,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-serialize-round-1.txt
20260524T171346Z,latency,kruda,json-serialize,2,-t4 -c128 -d15s,794063.71,0.106,0.236,0.785,9.940,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-serialize-round-2.txt
20260524T171346Z,latency,kruda,json-serialize,3,-t4 -c128 -d15s,802450.83,0.110,0.226,0.577,12.020,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-serialize-round-3.txt
20260524T171346Z,latency,kruda,json-serialize,4,-t4 -c128 -d15s,785591.09,0.110,0.237,0.728,9.390,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-serialize-round-4.txt
20260524T171346Z,latency,kruda,json-serialize,5,-t4 -c128 -d15s,798968.63,0.107,0.228,0.479,8.370,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-latency-json-serialize-round-5.txt
20260524T171346Z,throughput,kruda,plaintext-handler,1,-t4 -c256 -d15s,802443.46,0.196,0.348,0.813,10.630,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-throughput-plaintext-handler-round-1.txt
20260524T171346Z,throughput,kruda,plaintext-handler,2,-t4 -c256 -d15s,815832.54,0.192,0.442,1.080,11.180,0,0,/home/tiger/kruda-main-bench-20260524T171254Z/bench/reproducible/results/main-984f0d6-20260524T171346Z/raw/kruda-throughput-plaintext-handler-round-2.txt
