timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260527T201359Z,latency,kruda,plaintext-handler,1,-t4 -c128 -d10s,807349.55,0.111,0.220,0.774,8.160,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-latency-plaintext-handler-round-1.txt
20260527T201359Z,latency,kruda,plaintext-handler,2,-t4 -c128 -d10s,799717.86,0.101,0.209,1.430,14.330,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-latency-plaintext-handler-round-2.txt
20260527T201359Z,latency,kruda,plaintext-handler,3,-t4 -c128 -d10s,790178.24,0.114,0.234,0.549,10.470,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-latency-plaintext-handler-round-3.txt
20260527T201359Z,throughput,kruda,plaintext-handler,1,-t4 -c256 -d10s,811529.45,0.214,0.455,1.140,17.050,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-throughput-plaintext-handler-round-1.txt
20260527T201359Z,throughput,kruda,plaintext-handler,2,-t4 -c256 -d10s,823526.65,0.218,0.410,0.786,5.690,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-throughput-plaintext-handler-round-2.txt
20260527T201359Z,throughput,kruda,plaintext-handler,3,-t4 -c256 -d10s,824970.40,0.209,0.397,0.751,9.820,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/kruda-throughput-plaintext-handler-round-3.txt
20260527T201359Z,latency,fiber,plaintext-handler,1,-t4 -c128 -d10s,648544.97,0.136,0.483,2.420,13.430,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-latency-plaintext-handler-round-1.txt
20260527T201359Z,latency,fiber,plaintext-handler,2,-t4 -c128 -d10s,639867.75,0.138,0.561,2.620,12.300,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-latency-plaintext-handler-round-2.txt
20260527T201359Z,latency,fiber,plaintext-handler,3,-t4 -c128 -d10s,635008.65,0.137,0.518,2.480,11.560,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-latency-plaintext-handler-round-3.txt
20260527T201359Z,throughput,fiber,plaintext-handler,1,-t4 -c256 -d10s,650970.00,0.261,1.070,3.330,12.400,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-throughput-plaintext-handler-round-1.txt
20260527T201359Z,throughput,fiber,plaintext-handler,2,-t4 -c256 -d10s,651531.43,0.257,0.940,3.050,13.650,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-throughput-plaintext-handler-round-2.txt
20260527T201359Z,throughput,fiber,plaintext-handler,3,-t4 -c256 -d10s,662327.10,0.255,0.900,3.050,13.050,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/fiber-throughput-plaintext-handler-round-3.txt
20260527T201359Z,latency,actix,plaintext-handler,1,-t4 -c128 -d10s,700326.82,0.092,0.775,3.080,13.550,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-latency-plaintext-handler-round-1.txt
20260527T201359Z,latency,actix,plaintext-handler,2,-t4 -c128 -d10s,726357.17,0.088,1.230,3.540,11.060,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-latency-plaintext-handler-round-2.txt
20260527T201359Z,latency,actix,plaintext-handler,3,-t4 -c128 -d10s,730486.31,0.090,1.210,3.530,12.360,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-latency-plaintext-handler-round-3.txt
20260527T201359Z,throughput,actix,plaintext-handler,1,-t4 -c256 -d10s,745899.64,0.168,1.430,3.590,12.960,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-throughput-plaintext-handler-round-1.txt
20260527T201359Z,throughput,actix,plaintext-handler,2,-t4 -c256 -d10s,752986.82,0.170,1.640,3.820,16.960,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-throughput-plaintext-handler-round-2.txt
20260527T201359Z,throughput,actix,plaintext-handler,3,-t4 -c256 -d10s,725615.81,0.171,0.930,3.240,12.740,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-off-smoke-20260527T201500Z/raw/actix-throughput-plaintext-handler-round-3.txt
