timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260527T201908Z,latency,kruda,plaintext-handler,1,-t4 -c128 -d10s,797617.68,0.114,0.218,1.110,8.470,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-latency-plaintext-handler-round-1.txt
20260527T201908Z,latency,kruda,plaintext-handler,2,-t4 -c128 -d10s,756540.39,0.146,0.241,0.612,12.910,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-latency-plaintext-handler-round-2.txt
20260527T201908Z,latency,kruda,plaintext-handler,3,-t4 -c128 -d10s,722295.66,0.142,0.237,0.664,11.000,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-latency-plaintext-handler-round-3.txt
20260527T201908Z,throughput,kruda,plaintext-handler,1,-t4 -c256 -d10s,829190.07,0.135,0.358,0.860,11.390,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-throughput-plaintext-handler-round-1.txt
20260527T201908Z,throughput,kruda,plaintext-handler,2,-t4 -c256 -d10s,794576.01,0.203,0.423,0.970,9.350,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-throughput-plaintext-handler-round-2.txt
20260527T201908Z,throughput,kruda,plaintext-handler,3,-t4 -c256 -d10s,796379.86,0.206,0.422,1.190,10.070,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/kruda-throughput-plaintext-handler-round-3.txt
20260527T201908Z,latency,fiber,plaintext-handler,1,-t4 -c128 -d10s,634301.34,0.138,0.521,2.490,13.910,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-latency-plaintext-handler-round-1.txt
20260527T201908Z,latency,fiber,plaintext-handler,2,-t4 -c128 -d10s,632596.36,0.141,0.610,2.710,14.540,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-latency-plaintext-handler-round-2.txt
20260527T201908Z,latency,fiber,plaintext-handler,3,-t4 -c128 -d10s,634159.80,0.138,0.562,2.630,11.310,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-latency-plaintext-handler-round-3.txt
20260527T201908Z,throughput,fiber,plaintext-handler,1,-t4 -c256 -d10s,647219.64,0.261,1.000,3.190,15.230,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-throughput-plaintext-handler-round-1.txt
20260527T201908Z,throughput,fiber,plaintext-handler,2,-t4 -c256 -d10s,650742.11,0.258,0.990,3.160,12.000,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-throughput-plaintext-handler-round-2.txt
20260527T201908Z,throughput,fiber,plaintext-handler,3,-t4 -c256 -d10s,656198.09,0.263,1.020,3.280,12.160,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/fiber-throughput-plaintext-handler-round-3.txt
20260527T201908Z,latency,actix,plaintext-handler,1,-t4 -c128 -d10s,705129.52,0.090,0.567,3.090,12.100,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-latency-plaintext-handler-round-1.txt
20260527T201908Z,latency,actix,plaintext-handler,2,-t4 -c128 -d10s,708344.72,0.089,0.930,3.390,11.590,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-latency-plaintext-handler-round-2.txt
20260527T201908Z,latency,actix,plaintext-handler,3,-t4 -c128 -d10s,706211.21,0.091,0.790,3.080,11.230,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-latency-plaintext-handler-round-3.txt
20260527T201908Z,throughput,actix,plaintext-handler,1,-t4 -c256 -d10s,728554.23,0.168,1.020,3.350,10.930,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-throughput-plaintext-handler-round-1.txt
20260527T201908Z,throughput,actix,plaintext-handler,2,-t4 -c256 -d10s,728327.47,0.167,0.890,3.220,24.010,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-throughput-plaintext-handler-round-2.txt
20260527T201908Z,throughput,actix,plaintext-handler,3,-t4 -c256 -d10s,740815.00,0.169,0.930,3.160,12.240,0,0,/home/tiger/kruda-phase5-affinity-989355f/bench/reproducible/results/phase5-affinity-on-smoke-20260527T202100Z/raw/actix-throughput-plaintext-handler-round-3.txt
