timestamp_utc,variant,route,round,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non2xx,raw_file
20260528T040554Z,baseline,plaintext-handler,1,842848.05,0.203,0.436,1.270,10.790,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-plaintext-handler-round-1.txt
20260528T040554Z,baseline,plaintext-handler,2,839060.25,0.208,0.406,0.742,13.090,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-plaintext-handler-round-2.txt
20260528T040554Z,baseline,plaintext-handler,3,834408.48,0.140,0.334,0.950,13.640,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-plaintext-handler-round-3.txt
20260528T040554Z,baseline,json-static,1,808045.68,0.224,0.468,1.420,15.470,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-static-round-1.txt
20260528T040554Z,baseline,json-static,2,827563.48,0.205,0.397,0.714,11.880,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-static-round-2.txt
20260528T040554Z,baseline,json-static,3,816138.36,0.188,0.378,0.795,10.220,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-static-round-3.txt
20260528T040554Z,baseline,json-serialize,1,764501.25,0.248,0.475,1.550,17.180,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-serialize-round-1.txt
20260528T040554Z,baseline,json-serialize,2,812971.03,0.202,0.434,0.980,11.370,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-serialize-round-2.txt
20260528T040554Z,baseline,json-serialize,3,809137.90,0.211,0.412,0.768,12.100,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/baseline-json-serialize-round-3.txt
20260528T040554Z,candidate,plaintext-handler,1,817960.70,0.229,0.455,1.310,10.460,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-plaintext-handler-round-1.txt
20260528T040554Z,candidate,plaintext-handler,2,815442.86,0.226,0.412,0.849,15.860,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-plaintext-handler-round-2.txt
20260528T040554Z,candidate,plaintext-handler,3,810132.90,0.155,0.336,0.860,10.400,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-plaintext-handler-round-3.txt
20260528T040554Z,candidate,json-static,1,813505.52,0.226,0.460,0.850,8.630,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-static-round-1.txt
20260528T040554Z,candidate,json-static,2,820854.30,0.221,0.451,0.940,10.470,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-static-round-2.txt
20260528T040554Z,candidate,json-static,3,810757.55,0.214,0.456,1.400,17.200,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-static-round-3.txt
20260528T040554Z,candidate,json-serialize,1,776312.91,0.208,0.465,0.824,11.710,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-serialize-round-1.txt
20260528T040554Z,candidate,json-serialize,2,796998.62,0.232,0.487,0.846,6.260,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-serialize-round-2.txt
20260528T040554Z,candidate,json-serialize,3,780985.73,0.238,0.495,1.240,12.690,0,0,/home/tiger/kruda-phase5-default-profile-144e1f6/bench/reproducible/results/phase5-postsend-read-candidate-20260528T040554Z/raw/candidate-json-serialize-round-3.txt
