timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260529T155723Z,latency,kruda,json-static,1,-t4 -c128 -d15s,799983.15,0.115,0.241,0.747,15.230,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-static-round-1.txt
20260529T155723Z,latency,kruda,json-static,2,-t4 -c128 -d15s,822268.62,0.103,0.187,1.130,12.250,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-static-round-2.txt
20260529T155723Z,latency,kruda,json-static,3,-t4 -c128 -d15s,811113.94,0.103,0.199,0.847,11.280,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-static-round-3.txt
20260529T155723Z,latency,kruda,json-static,4,-t4 -c128 -d15s,825262.01,0.106,0.197,1.050,11.910,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-static-round-4.txt
20260529T155723Z,latency,kruda,json-static,5,-t4 -c128 -d15s,793945.06,0.117,0.236,0.681,15.840,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-static-round-5.txt
20260529T155723Z,latency,kruda,json-serialize,1,-t4 -c128 -d15s,790158.51,0.113,0.225,0.860,15.750,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-serialize-round-1.txt
20260529T155723Z,latency,kruda,json-serialize,2,-t4 -c128 -d15s,769974.44,0.120,0.281,1.150,21.340,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-serialize-round-2.txt
20260529T155723Z,latency,kruda,json-serialize,3,-t4 -c128 -d15s,776106.96,0.112,0.272,0.833,27.050,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-serialize-round-3.txt
20260529T155723Z,latency,kruda,json-serialize,4,-t4 -c128 -d15s,787339.67,0.111,0.234,0.860,9.190,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-serialize-round-4.txt
20260529T155723Z,latency,kruda,json-serialize,5,-t4 -c128 -d15s,805852.45,0.107,0.219,0.597,6.670,0,0,results/pr77-main-default-json-ports3100-20260529T155723Z/raw/kruda-latency-json-serialize-round-5.txt
