timestamp_utc,profile,framework,route,round,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,raw_file
20260614T101535Z,latency,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c128 -d8s,108872.69,1.060,1.870,6.010,19.100,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,latency,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c128 -d8s,104689.10,1.080,2.020,9.020,31.250,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,latency,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c128 -d8s,104522.19,1.090,2.030,8.290,20.680,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
20260614T101535Z,latency,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,4,-t4 -c128 -d8s,105992.60,1.080,1.920,4.290,14.690,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-4.txt
20260614T101535Z,latency,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,5,-t4 -c128 -d8s,106293.01,1.080,1.920,4.570,20.900,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-5.txt
20260614T101535Z,throughput,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c256 -d8s,103832.14,2.280,3.400,5.960,16.800,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,throughput,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c256 -d8s,102124.97,2.320,3.470,5.460,23.230,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,throughput,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c256 -d8s,102506.92,2.300,3.460,6.680,23.620,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
20260614T101535Z,throughput,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,4,-t4 -c256 -d8s,103773.08,2.290,3.390,5.120,17.100,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-4.txt
20260614T101535Z,throughput,kruda,realworld-profile/42?include=summary&limit=3&token=benchmark-token,5,-t4 -c256 -d8s,103888.80,2.290,3.350,5.230,19.660,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/kruda-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-5.txt
20260614T101535Z,latency,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c128 -d8s,106189.11,1.070,1.990,7.950,22.260,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,latency,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c128 -d8s,107992.51,1.050,1.890,5.940,22.900,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,latency,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c128 -d8s,107289.75,1.080,1.860,4.280,23.590,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
20260614T101535Z,latency,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,4,-t4 -c128 -d8s,104938.68,1.070,2.010,9.040,27.640,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-4.txt
20260614T101535Z,latency,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,5,-t4 -c128 -d8s,102061.14,1.100,2.170,11.300,29.180,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-5.txt
20260614T101535Z,throughput,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c256 -d8s,104685.05,2.260,3.340,6.820,20.880,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,throughput,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c256 -d8s,103639.26,2.260,3.400,8.850,23.150,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,throughput,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c256 -d8s,101059.66,2.280,3.630,12.050,26.760,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
20260614T101535Z,throughput,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,4,-t4 -c256 -d8s,100947.98,2.290,3.590,11.640,25.450,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-4.txt
20260614T101535Z,throughput,fiber,realworld-profile/42?include=summary&limit=3&token=benchmark-token,5,-t4 -c256 -d8s,100868.20,2.310,3.550,10.430,23.980,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/fiber-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-5.txt
20260614T101535Z,latency,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c128 -d8s,37352.12,2.760,14.100,27.060,42.430,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,latency,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c128 -d8s,36125.24,2.820,15.220,28.520,39.810,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,latency,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c128 -d8s,35523.74,2.880,15.150,29.470,46.570,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
20260614T101535Z,latency,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,4,-t4 -c128 -d8s,36133.00,2.810,15.550,29.470,41.870,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-4.txt
20260614T101535Z,latency,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,5,-t4 -c128 -d8s,36968.53,2.760,15.240,29.270,44.350,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-latency-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-5.txt
20260614T101535Z,throughput,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,1,-t4 -c256 -d8s,35917.09,5.720,18.610,30.860,43.250,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-1.txt
20260614T101535Z,throughput,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,2,-t4 -c256 -d8s,35907.74,5.680,19.200,33.110,45.580,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-2.txt
20260614T101535Z,throughput,actix,realworld-profile/42?include=summary&limit=3&token=benchmark-token,3,-t4 -c256 -d8s,35326.30,5.690,20.230,33.410,43.660,0,0,results/realworld-profile-stable-fiber-20260614T101535Z/raw/actix-throughput-realworld-profile_42_include_summary_limit_3_token_benchmark-token-round-3.txt
