timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260523T021154Z,latency,kruda,plaintext-handler,727113.27,4.100,0,0,423.97,447.00,24.11,23.20,171500,0.00,0.00
20260523T021154Z,latency,kruda,json-static,660270.87,4.780,0,0,412.80,428.00,30.68,26.85,159949,0.00,0.00
20260523T021154Z,latency,kruda,json-serialize,654064.80,4.740,0,0,411.19,433.00,31.34,27.04,159065,0.00,0.00
20260523T021154Z,throughput,kruda,plaintext-handler,737249.59,4.620,0,0,429.33,449.00,26.91,25.97,171720,0.00,0.00
20260523T021154Z,throughput,kruda,json-static,681026.56,6.010,0,0,405.86,424.00,37.01,30.65,167798,0.00,0.00
20260523T021154Z,throughput,kruda,json-serialize,668870.75,5.770,0,0,417.00,428.00,34.19,30.16,160401,0.00,0.00
20260523T021154Z,latency,fiber,plaintext-handler,635771.18,2.860,0,0,412.73,436.00,12.88,12.88,154039,453.67,384.60
20260523T021154Z,latency,fiber,json-static,624153.45,2.990,0,0,411.99,423.00,13.00,12.99,151496,586.43,449.99
20260523T021154Z,latency,fiber,json-serialize,603256.61,3.260,0,0,415.12,426.00,17.61,17.27,145320,557.81,651.43
20260523T021154Z,throughput,fiber,plaintext-handler,653773.96,3.520,0,0,409.80,423.00,17.36,17.36,159535,499.00,350.00
20260523T021154Z,throughput,fiber,json-static,643453.43,3.570,0,0,416.45,438.00,17.36,17.36,154507,335.38,363.70
20260523T021154Z,throughput,fiber,json-serialize,621792.49,3.950,0,0,419.07,431.00,21.95,21.51,148376,399.87,416.40
20260523T021154Z,latency,actix,plaintext-handler,704688.08,3.410,0,0,400.92,439.00,7.95,7.83,175767,0.00,0.00
20260523T021154Z,latency,actix,json-static,702726.35,3.340,0,0,401.48,427.00,7.95,7.95,175032,0.00,0.00
20260523T021154Z,latency,actix,json-serialize,683602.40,2.840,0,0,390.45,422.00,7.95,7.95,175080,0.00,0.00
20260523T021154Z,throughput,actix,plaintext-handler,724822.58,3.440,0,0,400.52,437.00,10.07,10.06,180972,0.00,0.00
20260523T021154Z,throughput,actix,json-static,725339.00,3.280,0,0,394.18,435.00,10.32,10.32,184010,0.00,0.00
20260523T021154Z,throughput,actix,json-serialize,713438.23,3.260,0,0,396.66,433.00,10.32,10.32,179863,0.00,0.00
