timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260524T055406Z,latency,kruda,plaintext-handler,805459.36,3.580,0,0,417.13,442.00,17.50,17.41,193096,0.00,0.00
20260524T055406Z,latency,kruda,json-static,794672.61,3.450,0,0,413.27,446.00,19.38,19.20,192289,0.00,0.00
20260524T055406Z,latency,kruda,json-serialize,770009.42,3.720,0,0,430.04,453.00,24.47,23.19,179055,0.00,0.00
20260524T055406Z,throughput,kruda,plaintext-handler,813896.06,3.620,0,0,419.24,446.00,23.33,23.33,194136,0.00,0.00
20260524T055406Z,throughput,kruda,json-static,808414.35,3.530,0,0,418.67,448.00,25.33,25.33,193091,0.00,0.00
20260524T055406Z,throughput,kruda,json-serialize,796820.54,4.110,0,0,419.18,449.00,26.71,26.05,190090,0.00,0.00
20260524T055406Z,latency,fiber,plaintext-handler,656057.04,2.730,0,0,403.40,417.00,12.62,12.62,162632,516.40,402.87
20260524T055406Z,latency,fiber,json-static,637220.70,2.850,0,0,411.99,434.00,12.88,12.88,154669,508.47,750.97
20260524T055406Z,latency,fiber,json-serialize,618372.21,2.940,0,0,415.00,445.00,17.88,17.56,149005,616.28,808.80
20260524T055406Z,throughput,fiber,plaintext-handler,669162.26,3.320,0,0,405.19,418.00,18.00,18.00,165148,433.92,327.72
20260524T055406Z,throughput,fiber,json-static,655574.20,3.210,0,0,412.53,434.00,18.00,18.00,158916,4.00,3.80
20260524T055406Z,throughput,fiber,json-serialize,638775.03,3.510,0,0,412.07,430.00,22.89,21.85,155016,407.60,367.33
20260524T055406Z,latency,actix,plaintext-handler,717406.41,2.920,0,0,392.15,442.00,8.07,8.07,182942,0.00,0.00
20260524T055406Z,latency,actix,json-static,702854.09,2.720,0,0,378.27,427.00,8.07,8.07,185808,0.00,0.00
20260524T055406Z,latency,actix,json-serialize,708835.20,2.920,0,0,397.35,434.00,8.07,8.07,178391,0.00,0.00
20260524T055406Z,throughput,actix,plaintext-handler,734983.54,3.110,0,0,381.03,435.00,10.45,10.45,192894,0.00,0.00
20260524T055406Z,throughput,actix,json-static,736223.04,3.160,0,0,387.35,438.00,10.57,10.57,190067,0.00,0.00
20260524T055406Z,throughput,actix,json-serialize,735724.38,3.180,0,0,401.80,451.00,10.57,10.57,183107,0.00,0.00
