timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T055406Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,805459.36,0.086,1.300,3.580,17.270,0,0,417.13,442.00,17920,17826,17.50,17.41,193096,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T055406Z,latency,kruda,json-static,-t4 -c128 -d15s,794672.61,0.089,1.190,3.450,24.830,0,0,413.27,446.00,19840,19661,19.38,19.20,192289,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T055406Z,latency,kruda,json-serialize,-t4 -c128 -d15s,770009.42,0.092,1.360,3.720,27.730,0,0,430.04,453.00,25060,23749,24.47,23.19,179055,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T055406Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,813896.06,0.170,1.400,3.620,19.990,0,0,419.24,446.00,23888,23888,23.33,23.33,194136,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T055406Z,throughput,kruda,json-static,-t4 -c256 -d15s,808414.35,0.178,1.310,3.530,18.080,0,0,418.67,448.00,25936,25936,25.33,25.33,193091,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T055406Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,796820.54,0.168,1.840,4.110,15.610,0,0,419.18,449.00,27356,26678,26.71,26.05,190090,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T055406Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,656057.04,0.137,0.541,2.730,12.230,0,0,403.40,417.00,12928,12928,12.62,12.62,162632,516.40,402.87,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T055406Z,latency,fiber,json-static,-t4 -c128 -d15s,637220.70,0.142,0.689,2.850,11.030,0,0,411.99,434.00,13184,13184,12.88,12.88,154669,508.47,750.97,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T055406Z,latency,fiber,json-serialize,-t4 -c128 -d15s,618372.21,0.143,0.733,2.940,18.750,0,0,415.00,445.00,18304,17985,17.88,17.56,149005,616.28,808.80,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T055406Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,669162.26,0.257,0.960,3.320,17.110,0,0,405.19,418.00,18428,18428,18.00,18.00,165148,433.92,327.72,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T055406Z,throughput,fiber,json-static,-t4 -c256 -d15s,655574.20,0.261,1.010,3.210,15.820,0,0,412.53,434.00,18428,18428,18.00,18.00,158916,4.00,3.80,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T055406Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,638775.03,0.268,1.130,3.510,16.020,0,0,412.07,430.00,23440,22375,22.89,21.85,155016,407.60,367.33,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T055406Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,717406.41,0.090,0.611,2.920,15.350,0,0,392.15,442.00,8268,8268,8.07,8.07,182942,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T055406Z,latency,actix,json-static,-t4 -c128 -d15s,702854.09,0.091,0.392,2.720,14.730,0,0,378.27,427.00,8268,8268,8.07,8.07,185808,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T055406Z,latency,actix,json-serialize,-t4 -c128 -d15s,708835.20,0.093,0.618,2.920,15.570,0,0,397.35,434.00,8268,8268,8.07,8.07,178391,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T055406Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,734983.54,0.163,0.766,3.110,14.890,0,0,381.03,435.00,10700,10700,10.45,10.45,192894,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T055406Z,throughput,actix,json-static,-t4 -c256 -d15s,736223.04,0.167,0.890,3.160,14.780,0,0,387.35,438.00,10828,10828,10.57,10.57,190067,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T055406Z,throughput,actix,json-serialize,-t4 -c256 -d15s,735724.38,0.170,0.990,3.180,14.550,0,0,401.80,451.00,10828,10828,10.57,10.57,183107,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
