timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260524T063509Z,latency,kruda,plaintext-handler,794939.68,0.831,0,0,385.87,399.00,17.12,16.60,206012,0.00,0.00
20260524T063509Z,latency,kruda,json-static,818009.71,0.831,0,0,386.34,397.00,18.75,18.75,211733,0.00,0.00
20260524T063509Z,latency,kruda,json-serialize,806017.13,0.664,0,0,388.07,400.00,21.10,20.75,207699,0.00,0.00
20260524T063509Z,throughput,kruda,plaintext-handler,833728.62,0.771,0,0,386.87,396.00,21.69,21.69,215506,0.00,0.00
20260524T063509Z,throughput,kruda,json-static,836681.14,0.831,0,0,386.27,396.00,23.19,23.19,216605,0.00,0.00
20260524T063509Z,throughput,kruda,json-serialize,798468.64,1.250,0,0,381.94,397.00,24.53,23.86,209056,0.00,0.00
20260524T063509Z,latency,fiber,plaintext-handler,650531.87,2.370,0,0,401.80,416.00,12.88,12.88,161904,432.93,307.00
20260524T063509Z,latency,fiber,json-static,642300.15,2.690,0,0,403.20,419.00,13.00,13.00,159301,658.87,482.00
20260524T063509Z,latency,fiber,json-serialize,615703.25,2.940,0,0,411.00,433.00,17.76,17.37,149806,392.13,531.80
20260524T063509Z,throughput,fiber,plaintext-handler,654783.25,3.340,0,0,405.53,426.00,18.46,18.46,161464,464.13,518.53
20260524T063509Z,throughput,fiber,json-static,651430.19,3.610,0,0,404.13,428.00,18.59,18.47,161193,454.53,454.27
20260524T063509Z,throughput,fiber,json-serialize,630787.36,4.020,0,0,411.60,431.00,22.41,21.81,153253,380.20,546.67
20260524T063509Z,latency,actix,plaintext-handler,697337.21,2.750,0,0,375.90,439.00,8.07,8.07,185511,0.00,0.00
20260524T063509Z,latency,actix,json-static,709351.46,3.060,0,0,391.73,442.00,8.20,8.18,181082,0.00,0.00
20260524T063509Z,latency,actix,json-serialize,699779.93,2.740,0,0,386.87,438.00,8.20,8.20,180882,0.00,0.00
20260524T063509Z,throughput,actix,plaintext-handler,744944.17,3.650,0,0,401.27,440.00,10.32,10.32,185647,0.00,0.00
20260524T063509Z,throughput,actix,json-static,736451.44,3.100,0,0,386.54,432.00,10.57,10.57,190524,0.00,0.00
20260524T063509Z,throughput,actix,json-serialize,738918.95,3.580,0,0,404.93,437.00,10.57,10.57,182481,0.00,0.00
