timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T063509Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,794939.68,0.113,0.240,0.831,8.100,0,0,385.87,399.00,17536,16998,17.12,16.60,206012,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T063509Z,latency,kruda,json-static,-t4 -c128 -d15s,818009.71,0.109,0.223,0.831,12.090,0,0,386.34,397.00,19200,19200,18.75,18.75,211733,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T063509Z,latency,kruda,json-serialize,-t4 -c128 -d15s,806017.13,0.116,0.238,0.664,12.320,0,0,388.07,400.00,21608,21246,21.10,20.75,207699,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T063509Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,833728.62,0.192,0.411,0.771,12.400,0,0,386.87,396.00,22212,22212,21.69,21.69,215506,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T063509Z,throughput,kruda,json-static,-t4 -c256 -d15s,836681.14,0.195,0.394,0.831,11.050,0,0,386.27,396.00,23748,23748,23.19,23.19,216605,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T063509Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,798468.64,0.218,0.455,1.250,10.300,0,0,381.94,397.00,25120,24435,24.53,23.86,209056,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T063509Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,650531.87,0.134,0.486,2.370,12.420,0,0,401.80,416.00,13184,13184,12.88,12.88,161904,432.93,307.00,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T063509Z,latency,fiber,json-static,-t4 -c128 -d15s,642300.15,0.137,0.557,2.690,14.150,0,0,403.20,419.00,13312,13312,13.00,13.00,159301,658.87,482.00,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T063509Z,latency,fiber,json-serialize,-t4 -c128 -d15s,615703.25,0.143,0.722,2.940,22.880,0,0,411.00,433.00,18188,17784,17.76,17.37,149806,392.13,531.80,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T063509Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,654783.25,0.262,1.060,3.340,12.300,0,0,405.53,426.00,18904,18904,18.46,18.46,161464,464.13,518.53,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T063509Z,throughput,fiber,json-static,-t4 -c256 -d15s,651430.19,0.266,1.110,3.610,20.180,0,0,404.13,428.00,19032,18913,18.59,18.47,161193,454.53,454.27,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T063509Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,630787.36,0.275,1.320,4.020,14.190,0,0,411.60,431.00,22952,22334,22.41,21.81,153253,380.20,546.67,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T063509Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,697337.21,0.090,0.455,2.750,16.160,0,0,375.90,439.00,8268,8268,8.07,8.07,185511,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T063509Z,latency,actix,json-static,-t4 -c128 -d15s,709351.46,0.090,0.763,3.060,18.410,0,0,391.73,442.00,8396,8379,8.20,8.18,181082,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T063509Z,latency,actix,json-serialize,-t4 -c128 -d15s,699779.93,0.095,0.503,2.740,15.250,0,0,386.87,438.00,8396,8396,8.20,8.20,180882,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T063509Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,744944.17,0.164,1.260,3.650,20.360,0,0,401.27,440.00,10572,10572,10.32,10.32,185647,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T063509Z,throughput,actix,json-static,-t4 -c256 -d15s,736451.44,0.166,0.850,3.100,15.360,0,0,386.54,432.00,10828,10828,10.57,10.57,190524,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T063509Z,throughput,actix,json-serialize,-t4 -c256 -d15s,738918.95,0.170,1.270,3.580,25.790,0,0,404.93,437.00,10828,10828,10.57,10.57,182481,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
