timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260524T083710Z,latency,kruda,plaintext-handler,854526.31,0.351,0,0,388.80,399.00,15.75,15.63,219786,0.00,0.00
20260524T083710Z,latency,kruda,json-static,847808.53,0.363,0,0,386.61,396.00,16.62,16.62,219293,0.00,0.00
20260524T083710Z,latency,kruda,json-serialize,818137.86,0.593,0,0,386.47,399.00,19.88,19.06,211695,0.00,0.00
20260524T083710Z,throughput,kruda,plaintext-handler,848169.94,0.632,0,0,387.87,396.00,18.80,18.71,218674,0.00,0.00
20260524T083710Z,throughput,kruda,json-static,841818.81,0.652,0,0,388.00,397.00,19.42,19.42,216964,0.00,0.00
20260524T083710Z,throughput,kruda,json-serialize,796066.33,0.736,0,0,385.40,398.00,20.95,20.67,206556,0.00,0.00
20260524T083710Z,latency,fiber,plaintext-handler,649055.40,2.910,0,0,409.65,448.00,11.75,11.75,158441,492.77,509.97
20260524T083710Z,latency,fiber,json-static,648553.59,2.590,0,0,405.93,420.00,11.88,11.88,159770,607.48,454.19
20260524T083710Z,latency,fiber,json-serialize,624436.89,2.690,0,0,413.06,439.00,17.45,16.77,151173,438.92,468.06
20260524T083710Z,throughput,fiber,plaintext-handler,667040.96,3.150,0,0,409.92,424.00,17.30,17.30,162725,270.24,187.71
20260524T083710Z,throughput,fiber,json-static,664412.76,2.940,0,0,408.66,422.00,17.30,17.30,162583,475.36,308.68
20260524T083710Z,throughput,fiber,json-serialize,644553.15,3.120,0,0,415.80,429.00,22.12,21.37,155015,405.87,322.53
20260524T083710Z,latency,actix,plaintext-handler,730716.75,2.870,0,0,397.13,442.00,7.82,7.82,183999,0.00,0.00
20260524T083710Z,latency,actix,json-static,722331.87,2.790,0,0,392.33,449.00,7.95,7.89,184113,0.00,0.00
20260524T083710Z,latency,actix,json-serialize,713235.81,2.630,0,0,384.56,422.00,8.07,8.07,185468,0.00,0.00
20260524T083710Z,throughput,actix,plaintext-handler,743301.11,3.150,0,0,384.28,431.00,10.20,10.20,193427,0.00,0.00
20260524T083710Z,throughput,actix,json-static,747995.33,3.220,0,0,397.13,445.00,10.32,10.32,188350,0.00,0.00
20260524T083710Z,throughput,actix,json-serialize,727273.77,2.970,0,0,387.78,436.00,10.32,10.32,187548,0.00,0.00
