timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T083710Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,854526.31,0.098,0.188,0.351,9.700,0,0,388.80,399.00,16128,16009,15.75,15.63,219786,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T083710Z,latency,kruda,json-static,-t4 -c128 -d15s,847808.53,0.104,0.190,0.363,14.190,0,0,386.61,396.00,17024,17024,16.62,16.62,219293,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T083710Z,latency,kruda,json-serialize,-t4 -c128 -d15s,818137.86,0.109,0.221,0.593,8.090,0,0,386.47,399.00,20356,19521,19.88,19.06,211695,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T083710Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,848169.94,0.196,0.370,0.632,16.540,0,0,387.87,396.00,19248,19163,18.80,18.71,218674,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T083710Z,throughput,kruda,json-static,-t4 -c256 -d15s,841818.81,0.186,0.391,0.652,13.870,0,0,388.00,397.00,19888,19888,19.42,19.42,216964,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T083710Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,796066.33,0.219,0.433,0.736,8.360,0,0,385.40,398.00,21456,21161,20.95,20.67,206556,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T083710Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,649055.40,0.140,0.612,2.910,16.130,0,0,409.65,448.00,12032,12032,11.75,11.75,158441,492.77,509.97,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T083710Z,latency,fiber,json-static,-t4 -c128 -d15s,648553.59,0.137,0.514,2.590,12.020,0,0,405.93,420.00,12160,12160,11.88,11.88,159770,607.48,454.19,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T083710Z,latency,fiber,json-serialize,-t4 -c128 -d15s,624436.89,0.141,0.644,2.690,13.590,0,0,413.06,439.00,17872,17175,17.45,16.77,151173,438.92,468.06,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T083710Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,667040.96,0.255,0.920,3.150,13.130,0,0,409.92,424.00,17720,17720,17.30,17.30,162725,270.24,187.71,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T083710Z,throughput,fiber,json-static,-t4 -c256 -d15s,664412.76,0.252,0.850,2.940,12.520,0,0,408.66,422.00,17720,17720,17.30,17.30,162583,475.36,308.68,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T083710Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,644553.15,0.259,0.980,3.120,12.450,0,0,415.80,429.00,22656,21880,22.12,21.37,155015,405.87,322.53,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T083710Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,730716.75,0.089,0.627,2.870,11.970,0,0,397.13,442.00,8012,8012,7.82,7.82,183999,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T083710Z,latency,actix,json-static,-t4 -c128 -d15s,722331.87,0.090,0.526,2.790,16.930,0,0,392.33,449.00,8140,8080,7.95,7.89,184113,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T083710Z,latency,actix,json-serialize,-t4 -c128 -d15s,713235.81,0.093,0.398,2.630,12.110,0,0,384.56,422.00,8268,8268,8.07,8.07,185468,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T083710Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,743301.11,0.160,0.860,3.150,12.530,0,0,384.28,431.00,10444,10444,10.20,10.20,193427,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T083710Z,throughput,actix,json-static,-t4 -c256 -d15s,747995.33,0.162,0.990,3.220,13.280,0,0,397.13,445.00,10572,10572,10.32,10.32,188350,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T083710Z,throughput,actix,json-serialize,-t4 -c256 -d15s,727273.77,0.163,0.675,2.970,20.310,0,0,387.78,436.00,10572,10572,10.32,10.32,187548,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
