timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260524T092815Z,latency,kruda,plaintext-handler,840174.94,0.496,0,0,386.53,398.00,15.75,15.71,217363,0.00,0.00
20260524T092815Z,latency,kruda,json-static,814729.38,0.698,0,0,386.27,398.00,16.62,16.59,210922,0.00,0.00
20260524T092815Z,latency,kruda,json-serialize,777569.04,0.668,0,0,386.20,399.00,19.36,18.71,201338,0.00,0.00
20260524T092815Z,throughput,kruda,plaintext-handler,840234.65,0.890,0,0,386.14,398.00,19.53,19.53,217598,0.00,0.00
20260524T092815Z,throughput,kruda,json-static,828715.84,0.741,0,0,386.26,396.00,19.78,19.78,214549,0.00,0.00
20260524T092815Z,throughput,kruda,json-serialize,799022.77,0.970,0,0,382.48,397.00,20.96,20.62,208906,0.00,0.00
20260524T092815Z,latency,fiber,plaintext-handler,636017.81,2.680,0,0,409.80,431.00,11.88,11.78,155202,324.60,308.20
20260524T092815Z,latency,fiber,json-static,633112.21,2.730,0,0,404.46,416.00,12.25,12.25,156533,443.11,438.60
20260524T092815Z,latency,fiber,json-serialize,613584.05,2.890,0,0,408.80,424.00,16.99,16.63,150094,594.53,597.53
20260524T092815Z,throughput,fiber,plaintext-handler,645619.82,3.530,0,0,412.87,438.00,17.11,17.11,156374,0.00,0.00
20260524T092815Z,throughput,fiber,json-static,642131.19,3.570,0,0,410.91,441.00,17.11,17.11,156271,375.67,360.08
20260524T092815Z,throughput,fiber,json-serialize,632952.92,3.730,0,0,414.45,430.00,22.03,21.27,152721,146.31,142.12
20260524T092815Z,latency,actix,plaintext-handler,696402.54,2.500,0,0,378.73,449.00,8.07,8.07,183878,0.00,0.00
20260524T092815Z,latency,actix,json-static,716514.74,2.880,0,0,397.11,441.58,8.20,8.20,180432,0.00,0.00
20260524T092815Z,latency,actix,json-serialize,717171.51,3.050,0,0,414.00,442.00,8.20,8.20,173230,0.00,0.00
20260524T092815Z,throughput,actix,plaintext-handler,748302.49,3.300,0,0,408.28,445.00,10.32,10.32,183282,0.00,0.00
20260524T092815Z,throughput,actix,json-static,737413.14,3.240,0,0,393.00,445.00,10.70,10.61,187637,0.00,0.00
20260524T092815Z,throughput,actix,json-serialize,734178.97,3.120,0,0,394.93,441.00,10.70,10.70,185901,0.00,0.00
