timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T092815Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,840174.94,0.108,0.239,0.496,12.780,0,0,386.53,398.00,16128,16085,15.75,15.71,217363,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T092815Z,latency,kruda,json-static,-t4 -c128 -d15s,814729.38,0.113,0.229,0.698,13.140,0,0,386.27,398.00,17024,16990,16.62,16.59,210922,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T092815Z,latency,kruda,json-serialize,-t4 -c128 -d15s,777569.04,0.123,0.246,0.668,13.730,0,0,386.20,399.00,19828,19163,19.36,18.71,201338,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T092815Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,840234.65,0.134,0.355,0.890,12.640,0,0,386.14,398.00,20000,20000,19.53,19.53,217598,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T092815Z,throughput,kruda,json-static,-t4 -c256 -d15s,828715.84,0.210,0.392,0.741,9.480,0,0,386.26,396.00,20256,20256,19.78,19.78,214549,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T092815Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,799022.77,0.208,0.442,0.970,12.230,0,0,382.48,397.00,21468,21112,20.96,20.62,208906,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T092815Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,636017.81,0.138,0.592,2.680,20.160,0,0,409.80,431.00,12160,12066,11.88,11.78,155202,324.60,308.20,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T092815Z,latency,fiber,json-static,-t4 -c128 -d15s,633112.21,0.140,0.590,2.730,12.950,0,0,404.46,416.00,12544,12544,12.25,12.25,156533,443.11,438.60,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T092815Z,latency,fiber,json-serialize,-t4 -c128 -d15s,613584.05,0.144,0.709,2.890,14.000,0,0,408.80,424.00,17396,17032,16.99,16.63,150094,594.53,597.53,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T092815Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,645619.82,0.266,1.170,3.530,20.330,0,0,412.87,438.00,17520,17520,17.11,17.11,156374,0.00,0.00,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T092815Z,throughput,fiber,json-static,-t4 -c256 -d15s,642131.19,0.267,1.180,3.570,13.310,0,0,410.91,441.00,17520,17520,17.11,17.11,156271,375.67,360.08,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T092815Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,632952.92,0.269,1.230,3.730,17.700,0,0,414.45,430.00,22556,21778,22.03,21.27,152721,146.31,142.12,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T092815Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,696402.54,0.092,0.344,2.500,10.870,0,0,378.73,449.00,8268,8268,8.07,8.07,183878,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T092815Z,latency,actix,json-static,-t4 -c128 -d15s,716514.74,0.091,0.648,2.880,13.710,0,0,397.11,441.58,8396,8396,8.20,8.20,180432,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T092815Z,latency,actix,json-serialize,-t4 -c128 -d15s,717171.51,0.093,0.860,3.050,15.490,0,0,414.00,442.00,8396,8396,8.20,8.20,173230,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T092815Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,748302.49,0.166,1.060,3.300,20.300,0,0,408.28,445.00,10572,10572,10.32,10.32,183282,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T092815Z,throughput,actix,json-static,-t4 -c256 -d15s,737413.14,0.174,0.970,3.240,18.750,0,0,393.00,445.00,10956,10862,10.70,10.61,187637,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T092815Z,throughput,actix,json-serialize,-t4 -c256 -d15s,734178.97,0.167,0.837,3.120,16.570,0,0,394.93,441.00,10956,10956,10.70,10.70,185901,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
