timestamp_utc,profile,framework,route,rps,p99_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s
20260524T174429Z,latency,kruda,plaintext-handler,833707.69,0.741,0,0,384.87,396.00,15.88,15.82,216621,0.00,0.00
20260524T174429Z,latency,kruda,json-static,814287.16,0.690,0,0,384.13,395.00,17.50,17.50,211982,0.00,0.00
20260524T174429Z,latency,kruda,json-serialize,794918.28,0.733,0,0,386.94,397.00,22.26,20.92,205437,0.00,0.00
20260524T174429Z,throughput,kruda,plaintext-handler,821877.29,0.821,0,0,386.13,395.00,20.92,20.92,212850,0.00,0.00
20260524T174429Z,throughput,kruda,json-static,800915.57,0.736,0,0,387.39,400.00,21.92,21.92,206747,0.00,0.00
20260524T174429Z,throughput,kruda,json-serialize,797616.20,0.960,0,0,386.13,398.00,24.25,23.72,206567,0.00,0.00
20260524T174429Z,latency,fiber,plaintext-handler,638388.90,2.670,0,0,404.20,418.00,12.88,12.88,157939,690.49,527.37
20260524T174429Z,latency,fiber,json-static,614925.10,2.860,0,0,408.40,433.00,13.00,13.00,150569,530.40,715.07
20260524T174429Z,latency,fiber,json-serialize,604076.58,3.000,0,0,414.05,437.00,18.33,17.62,145895,558.53,619.95
20260524T174429Z,throughput,fiber,plaintext-handler,648306.45,3.350,0,0,410.53,444.00,18.14,18.14,157919,439.06,297.65
20260524T174429Z,throughput,fiber,json-static,644459.09,3.270,0,0,408.20,424.00,18.14,18.14,157878,176.20,175.13
20260524T174429Z,throughput,fiber,json-serialize,621569.91,3.510,0,0,414.19,426.00,22.57,21.93,150069,325.07,318.60
20260524T174429Z,latency,actix,plaintext-handler,693306.46,2.740,0,0,381.93,430.00,7.82,7.82,181527,0.00,0.00
20260524T174429Z,latency,actix,json-static,707049.66,3.020,0,0,409.19,440.00,7.95,7.95,172793,0.00,0.00
20260524T174429Z,latency,actix,json-serialize,691357.88,2.870,0,0,396.33,448.00,7.95,7.95,174440,0.00,0.00
20260524T174429Z,throughput,actix,plaintext-handler,720928.80,3.460,0,0,397.78,431.00,10.07,10.07,181238,0.00,0.00
20260524T174429Z,throughput,actix,json-static,703111.48,2.900,0,0,381.54,432.00,10.20,10.20,184283,0.00,0.00
20260524T174429Z,throughput,actix,json-serialize,700305.01,3.320,0,0,395.07,427.00,10.20,10.20,177261,0.00,0.00
