timestamp_utc,profile,framework,route,wrk_args,rps,p50_ms,p90_ms,p99_ms,max_ms,socket_errors,non_2xx,avg_cpu_pct,max_cpu_pct,max_rss_kb,avg_rss_kb,max_rss_mb,avg_rss_mb,rps_per_core,cswch_s,nvcswch_s,raw_wrk,pidstat_log
20260524T174429Z,latency,kruda,plaintext-handler,-t4 -c128 -d15s,833707.69,0.103,0.209,0.741,12.420,0,0,384.87,396.00,16256,16196,15.88,15.82,216621,0.00,0.00,raw/kruda-latency-plaintext-handler-wrk.txt,raw/kruda-latency-plaintext-handler-pidstat.txt
20260524T174429Z,latency,kruda,json-static,-t4 -c128 -d15s,814287.16,0.106,0.228,0.690,15.620,0,0,384.13,395.00,17920,17920,17.50,17.50,211982,0.00,0.00,raw/kruda-latency-json-static-wrk.txt,raw/kruda-latency-json-static-pidstat.txt
20260524T174429Z,latency,kruda,json-serialize,-t4 -c128 -d15s,794918.28,0.110,0.232,0.733,7.380,0,0,386.94,397.00,22796,21427,22.26,20.92,205437,0.00,0.00,raw/kruda-latency-json-serialize-wrk.txt,raw/kruda-latency-json-serialize-pidstat.txt
20260524T174429Z,throughput,kruda,plaintext-handler,-t4 -c256 -d15s,821877.29,0.179,0.344,0.821,16.140,0,0,386.13,395.00,21424,21424,20.92,20.92,212850,0.00,0.00,raw/kruda-throughput-plaintext-handler-wrk.txt,raw/kruda-throughput-plaintext-handler-pidstat.txt
20260524T174429Z,throughput,kruda,json-static,-t4 -c256 -d15s,800915.57,0.224,0.478,0.736,14.530,0,0,387.39,400.00,22448,22448,21.92,21.92,206747,0.00,0.00,raw/kruda-throughput-json-static-wrk.txt,raw/kruda-throughput-json-static-pidstat.txt
20260524T174429Z,throughput,kruda,json-serialize,-t4 -c256 -d15s,797616.20,0.206,0.417,0.960,15.430,0,0,386.13,398.00,24828,24285,24.25,23.72,206567,0.00,0.00,raw/kruda-throughput-json-serialize-wrk.txt,raw/kruda-throughput-json-serialize-pidstat.txt
20260524T174429Z,latency,fiber,plaintext-handler,-t4 -c128 -d15s,638388.90,0.139,0.544,2.670,13.030,0,0,404.20,418.00,13184,13184,12.88,12.88,157939,690.49,527.37,raw/fiber-latency-plaintext-handler-wrk.txt,raw/fiber-latency-plaintext-handler-pidstat.txt
20260524T174429Z,latency,fiber,json-static,-t4 -c128 -d15s,614925.10,0.146,0.698,2.860,16.270,0,0,408.40,433.00,13312,13312,13.00,13.00,150569,530.40,715.07,raw/fiber-latency-json-static-wrk.txt,raw/fiber-latency-json-static-pidstat.txt
20260524T174429Z,latency,fiber,json-serialize,-t4 -c128 -d15s,604076.58,0.147,0.765,3.000,12.030,0,0,414.05,437.00,18772,18048,18.33,17.62,145895,558.53,619.95,raw/fiber-latency-json-serialize-wrk.txt,raw/fiber-latency-json-serialize-pidstat.txt
20260524T174429Z,throughput,fiber,plaintext-handler,-t4 -c256 -d15s,648306.45,0.264,1.040,3.350,13.430,0,0,410.53,444.00,18576,18576,18.14,18.14,157919,439.06,297.65,raw/fiber-throughput-plaintext-handler-wrk.txt,raw/fiber-throughput-plaintext-handler-pidstat.txt
20260524T174429Z,throughput,fiber,json-static,-t4 -c256 -d15s,644459.09,0.263,0.990,3.270,13.330,0,0,408.20,424.00,18576,18576,18.14,18.14,157878,176.20,175.13,raw/fiber-throughput-json-static-wrk.txt,raw/fiber-throughput-json-static-pidstat.txt
20260524T174429Z,throughput,fiber,json-serialize,-t4 -c256 -d15s,621569.91,0.270,1.130,3.510,14.590,0,0,414.19,426.00,23108,22456,22.57,21.93,150069,325.07,318.60,raw/fiber-throughput-json-serialize-wrk.txt,raw/fiber-throughput-json-serialize-pidstat.txt
20260524T174429Z,latency,actix,plaintext-handler,-t4 -c128 -d15s,693306.46,0.093,0.465,2.740,14.140,0,0,381.93,430.00,8012,8012,7.82,7.82,181527,0.00,0.00,raw/actix-latency-plaintext-handler-wrk.txt,raw/actix-latency-plaintext-handler-pidstat.txt
20260524T174429Z,latency,actix,json-static,-t4 -c128 -d15s,707049.66,0.096,0.834,3.020,18.080,0,0,409.19,440.00,8140,8140,7.95,7.95,172793,0.00,0.00,raw/actix-latency-json-static-wrk.txt,raw/actix-latency-json-static-pidstat.txt
20260524T174429Z,latency,actix,json-serialize,-t4 -c128 -d15s,691357.88,0.095,0.576,2.870,17.010,0,0,396.33,448.00,8140,8140,7.95,7.95,174440,0.00,0.00,raw/actix-latency-json-serialize-wrk.txt,raw/actix-latency-json-serialize-pidstat.txt
20260524T174429Z,throughput,actix,plaintext-handler,-t4 -c256 -d15s,720928.80,0.168,1.140,3.460,19.060,0,0,397.78,431.00,10316,10316,10.07,10.07,181238,0.00,0.00,raw/actix-throughput-plaintext-handler-wrk.txt,raw/actix-throughput-plaintext-handler-pidstat.txt
20260524T174429Z,throughput,actix,json-static,-t4 -c256 -d15s,703111.48,0.168,0.640,2.900,19.920,0,0,381.54,432.00,10444,10444,10.20,10.20,184283,0.00,0.00,raw/actix-throughput-json-static-wrk.txt,raw/actix-throughput-json-static-pidstat.txt
20260524T174429Z,throughput,actix,json-serialize,-t4 -c256 -d15s,700305.01,0.179,1.120,3.320,28.620,0,0,395.07,427.00,10444,10444,10.20,10.20,177261,0.00,0.00,raw/actix-throughput-json-serialize-wrk.txt,raw/actix-throughput-json-serialize-pidstat.txt
